location,one_dose,daily_cases,continent,type
Afghanistan,1.89,38.03,Asia,Country
Africa,2.82,29.32,Africa,Continent
Albania,20.23,2.09,Europe,Country
Algeria,5.7,7.28,Africa,Country
Andorra,53.99,33.28,Europe,Country
Angola,2.9,2.99,Africa,Country
Antigua and Barbuda,37.53,2.92,North America,Country
Argentina,41.75,383.94,South America,Country
Armenia,1.97,27.48,Europe,Country
Asia,25.08,34.10,Asia,Continent
Australia,25.91,1.50,Oceania,Country
Austria,55.29,10.37,Europe,Country
Azerbaijan,23.84,9.38,Asia,Country
Bahamas,15.19,97.36,North America,Country
Bahrain,63.55,79.25,Asia,Country
Bangladesh,3.54,58.69,Asia,Country
Barbados,33.3,8.45,North America,Country
Belarus,7.4,87.85,Europe,Country
Belgium,64.61,73.51,Europe,Country
Belize,25.05,69.34,North America,Country
Benin,0.3,0.35,Africa,Country
Bhutan,62.83,19.81,Asia,Country
Bolivia,16.51,141.03,South America,Country
Bosnia and Herzegovina,9.34,2.44,Europe,Country
Botswana,6.86,261.04,Africa,Country
Brazil,38.57,228.82,South America,Country
Brunei,20.69,1.63,Asia,Country
Bulgaria,14.3,9.27,Europe,Country
Burkina Faso,0.12,0.07,Africa,Country
Cambodia,28.41,57.02,Asia,Country
Cameroon,0.33,0.86,Africa,Country
Canada,69.13,14.40,North America,Country
Cape Verde,16.13,88.90,Africa,Country
Central African Republic,1.63,0.06,Africa,Country
Chad,0.1,0.01,Africa,Country
Chile,67.89,154.63,South America,Country
China,43.21,0.02,Asia,Country
Colombia,24.66,521.73,South America,Country
Comoros,4.96,1.48,Africa,Country
Congo,2.1,4.97,Africa,Country
Costa Rica,33.47,281.00,North America,Country
Cote d'Ivoire,3.13,2.10,Africa,Country
Croatia,37.19,21.26,Europe,Country
Cuba,26.19,288.70,North America,Country
Cyprus,53.13,760.61,Europe,Country
Czechia,48.41,15.79,Europe,Country
Democratic Republic of Congo,0.05,3.76,Africa,Country
Denmark,60.29,79.81,Europe,Country
Djibouti,1.27,4.34,Africa,Country
Dominica,28.32,3.97,North America,Country
Dominican Republic,47.31,75.33,North America,Country
Ecuador,19.05,52.83,South America,Country
Egypt,3.5,1.69,Africa,Country
El Salvador,29.16,47.71,North America,Country
Equatorial Guinea,11.44,4.18,Africa,Country
Estonia,43.54,29.29,Europe,Country
Eswatini,3.22,40.14,Africa,Country
Ethiopia,1.65,1.72,Africa,Country
Europe,43.43,109.92,Europe,Continent
Fiji,36.19,478.88,Oceania,Country
Finland,61.59,35.71,Europe,Country
France,51.66,35.34,Europe,Country
Gabon,1.89,7.83,Africa,Country
Gambia,1.29,2.01,Africa,Country
Georgia,7.11,238.86,Asia,Country
